issue_id,category_id
1,1
2,3
3,3
4,5
5,9
6,9
7,4
8,5
9,8
10,6
11,7
12,3
13,6
14,8
15,9
16,7
17,5
18,2
19,4
20,3
21,9
22,8
23,7
24,5
25,6
26,9
27,2
28,1
29,1
30,5
31,9
32,6
33,3
34,8
35,4
36,2
37,8
38,1
39,7
40,4
41,5
42,9
43,6
44,6
45,2
46,2
47,7
48,8
49,9
50,2
51,7
52,6
53,3
54,4
55,5
56,1
57,3
58,6
59,4
60,1
61,8
62,5
63,9
64,6
65,3
66,7
67,2
68,2
69,1
70,5
71,9
72,8
73,3
74,6
75,4
76,2
77,3
78,1
79,8
80,6
81,9
82,1
83,4
84,7
85,8
86,2
87,3
88,3
89,6
90,9
91,2
92,5
93,7
94,4
95,6
96,4
97,9
98,3
99,6
100,1
101,5
102,8
103,9
104,6
105,3
106,2
107,4
108,1
109,2
1,8
4,8
8,4
9,5
11,5
11,8
12,1
19,8
25,5
25,8
27,4
29,2
33,2
35,7
38,8
38,5
45,3
48,4
54,8
55,8
58,7
68,8
69,3
75,5
79,2
80,4
80,5
82,8
91,8
91,3
91,1
91,5
99,4
