visit_id,counselor_id
1,100
2,101
3,102
4,101
5,100
6,103
7,104
8,102
9,105
10,104
11,106
12,103
13,107
14,104
15,108
16,100
17,109
18,106
19,102
20,105
21,111
22,103
23,112
24,101
25,110
26,107
27,105
28,110
29,108
30,109
31,112
32,105
33,112
34,100
35,106
37,103
38,107
39,102
40,104
41,109
42,111
43,101
44,100
45,110
46,105
47,106
48,111
49,103
50,112
51,107
52,104
53,109
54,111
55,102
56,100
57,108
58,110
59,104
60,110
61,105
62,106
63,107
64,103
65,101
66,111
67,100
68,112
69,109
70,104
71,111
72,102
73,106
74,107
75,105
76,110
77,103
78,111
79,100
80,112
81,104
82,101
83,107
84,100
85,105
86,109
87,106
88,108
89,102
90,111
91,104
92,100
93,103
94,107
95,101
96,110
97,105
98,110
99,112
100,106
3,108
5,110
12,101
14,102
14,107
27,103
29,106
31,105
34,109
36,111
39,108
45,101
49,112
52,100
54,109
58,102
59,112
59,111
71,110
75,108
84,111
89,109
92,108
1,113
7,113
9,113
11,113
14,113
19,113
22,113
23,113
25,113
27,113
30,113
34,113
35,113
40,113
41,113
48,113
49,113
54,113
55,113
58,113
59,113
61,113
66,113
68,113
70,113
72,113
75,113
79,113
80,113
81,113
83,113
85,113
89,113
91,113
92,113
93,113
94,113
95,113
96,113
97,113
99,113
102,113
104,113
